SECRETARIA DA SEGURANÇA PÚBLICA,,,,,,,,,
PRINCIPAIS DELITOS - CAPITAL,,,,,,,,,
Período: 01/01/2018 à 31/03/2018,,,,,,,,,
,,,,,,,,,Uso/Porte
,,Lesão Corporal,Roubo com,,,Roubo a Ônibus,,,
Área Integrada de Segurança,Homicídio,,,Tentativa de,,,Roubo de,,Substância
,,Seguida de,Resultado Morte,,Estupro,(Urbano e em,,Furto de Veículo,
Pública - AISP,Doloso,,,Homicídio,,,Veículo,,Entorpecente
,,Morte,- (Latrocínio),,,Rodovia),,,
,,,,,,,,,(Usuários)
AISP 06 - Brotas,17,0,1,9,0,34,90,22,16
AISP 07 - Rio Vermelho,3,0,0,5,2,27,57,24,41
AISP 09 - Boca do Rio,9,0,0,1,5,14,122,29,26
AISP 12 - Itapuã,30,0,0,3,3,11,138,56,4
AISP 14 - Barra,1,0,0,0,0,4,10,5,15
AISP 15 - Nordeste,7,0,0,3,2,7,5,3,19
AISP 16 - Pituba,1,0,0,0,0,34,62,20,23
RISP ATLÂNTICO,68,0,1,21,12,131,484,159,144
AISP 01 - Barris,8,0,0,9,4,13,55,13,69
AISP 02 - Liberdade,37,0,0,12,3,21,133,16,12
AISP 03 - Bonfim,24,0,0,14,9,35,78,42,22
AISP 04 - São Caetano,18,0,0,2,12,58,155,16,15
AISP 05 - Periperi,44,1,1,17,10,58,82,24,12
AISP 08 - CIA,10,0,0,1,2,15,40,3,28
RISP BTS,141,1,1,55,40,200,543,114,158
AISP 10 - Pau da Lima,20,0,0,3,7,27,124,32,6
AISP 11 - Tancredo Neves,37,0,0,6,8,79,170,31,34
AISP 13 - Cajazeiras,18,0,0,6,4,34,104,16,13
RISP CENTRAL,75,0,0,15,19,140,398,79,53
TOTAL DA CAPITAL,284,1,2,91,71,471,1.425,352,355
Fonte: SSP-BA,,,,,,,,,
* Dados coletados em 20/06/2018 às 11h30min,,,,,,,,,
